## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.brand,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
WOSKWISLT,Sleek Insulated Coat,coat,Sleek Insulated Coat,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Sleek.jpg,75,http://localhost:4502/content/we-retail/language-masters/en/products/women/coats/sleek-insulated-coat.html#woskwislt-XS,,,WeRetail,,,,,,,,,,
MEHISUTRS,Trail Model Pants,pants,Trail Model Pants,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/Trail.jpg,69,http://localhost:4502/content/we-retail/language-masters/en/products/men/pants/trail-model-pants.html#mehisutrs-XS,,,WeRetail,,,,,,,,,,
MEOTSUETT,Eton Short-Sleeve Shirt,shirt,Eton Short-Sleeve Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Eton.jpg,24,http://localhost:4502/content/we-retail/language-masters/en/products/men/shirts/eton-short-sleeve-shirt.html#meotsuett-S,,,WeRetail,,,,,,,,,,
MEOTSUAMT,Amsterdam Short-Sleeve Travel Shirt,shirt,Amsterdam Short-Sleeve Travel Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Amsterdam.jpg,39,http://localhost:4502/content/we-retail/language-masters/en/products/men/shirts/amsterdam-short-sleeve-travel-shirt.html#meotsuamt-XS,,,WeRetail,,,,,,,,,,
MEHISULAT,Laguna Short-Sleeve Shirt,shirt,Laguna Short-Sleeve Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Laguna.jpg,42,http://localhost:4502/content/we-retail/language-masters/en/products/men/shirts/laguna-short-sleeve-shirt.html#mehisulat-XS,,,WeRetail,,,,,,,,,,
MEOTSUANN,Analog Dark Wash Jean,pants,Analog Dark Wash Jean,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/Analog.jpg,98,http://localhost:4502/content/we-retail/language-masters/en/products/men/pants/analog-dark-wash-jean.html#meotsuann-28,,,WeRetail,,,,,,,,,,
MEOTSUTRS,Tribeca Cargo Pants,pants,Tribeca Cargo Pants,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/Tribeca.jpg,65,http://localhost:4502/content/we-retail/language-masters/en/products/men/pants/tribeca-cargo-pants.html#meotsutrs-S,,,WeRetail,,,,,,,,,,
MEHISUCOS,Corona Shorts,shorts,Corona Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Corona.jpg,39,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/corona-shorts.html#mehisucos-XS,,,WeRetail,,,,,,,,,,
MEHISUBUS,Buffalo Plaid Shorts,shorts,Buffalo Plaid Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Buffalo.jpg,32,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/buffalo-plaid-shorts.html#mehisubus-S,,,WeRetail,,,,,,,,,,
MEHISUSTS,Stretch Fatigue Shorts,shorts,Stretch Fatigue Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Fatigue.jpg,44,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/stretch-fatigue-shorts.html#mehisusts-S,,,WeRetail,,,,,,,,,,
MEHISUSLS,Slot Canyon Active Shorts,shorts,Slot Canyon Active Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Canyon.jpg,39,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/slot-canyon-active-shorts.html#mehisusls-XS,,,WeRetail,,,,,,,,,,
MESUSUPIS.1,Pipeline Board Shorts Orange,shorts,Pipeline Board Shorts Orange,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Pipeline%20Orange.jpg,24,http://localhost:4502/content/we-retail/language-masters/en/products/men/shorts/pipeline-board-shorts.html#mesusupis.1-S,,,WeRetail,,,,,,,,,,
MEOTWIZUF,Zurich Wool Scarf,scarf,Zurich Wool Scarf,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Scarfs/Source/Zurich.jpg,45,http://localhost:4502/content/we-retail/language-masters/en/products/men/scarfs/zurich-wool-scarf.html#meotwizuf-One%20size,,,WeRetail,,,,,,,,,,
MEOTWISUS,Sussex Rain Boots,footwear,Sussex Rain Boots,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/Source/Sussex.jpg,65,http://localhost:4502/content/we-retail/language-masters/en/products/men/footwear/sussex-rain-boots.html#meotwisus-7,,,WeRetail,,,,,,,,,,
WOOTWISOT.1,Sonja Insulated Jacket Green,coat,Sonja Insulated Jacket Green,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Coats/Sonja%20Green.jpg,189,http://localhost:4502/content/we-retail/language-masters/en/products/women/coats/sonja-insulated-jacket.html#wootwisot.1-XS,,,WeRetail,,,,,,,,,,
WOOTSUDET,Devi Sleeveless Shirt,shirt,Devi Sleeveless Shirt,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Devi.jpg,45,http://localhost:4502/content/we-retail/language-masters/en/products/women/shirts/devi-sleeveless-shirt.html#wootsudet-XXS,,,WeRetail,,,,,,,,,,
WOSWSUSOC.1,Soleil Tunic Yellow,shirt,Soleil Tunic Yellow,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shirts/Soleil%20Yellow.jpg,69,http://localhost:4502/content/we-retail/language-masters/en/products/women/shirts/soleil-tunic.html#woswsusoc.1-XS,,,WeRetail,,,,,,,,,,
331050524,Hiking Pants,pants,Hiking Pants,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/331050524.jpg,86.99,http://localhost:4502/content/we-retail/language-masters/en/products/women/pants/hiking-pants.html#331050524,,,WeRetail,,,,,,,,,,
116138647,Faba Running Pants,pants,Faba Running Pants,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Pants/116138647.jpg,39.99,http://localhost:4502/content/we-retail/language-masters/en/products/women/pants/faba-running-pants.html#116138647,,,WeRetail,,,,,,,,,,
WOHISUFLS,Fleet Fox Running Shorts,shorts,Fleet Fox Running Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Fleet%20Fox.jpg,35,http://localhost:4502/content/we-retail/language-masters/en/products/women/shorts/fleet-fox-running-shorts.html#wohisufls-XS,,,WeRetail,,,,,,,,,,
WOHISUCAT,Candide Trail Short,shorts,Candide Trail Short,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Candide.jpg,48,http://localhost:4502/content/we-retail/language-masters/en/products/women/shorts/candide-trail-short.html#wohisucat-XXS,,,WeRetail,,,,,,,,,,
WOHISUDES,Desert Sky Shorts,shorts,Desert Sky Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Desert%20Sky.jpg,35,http://localhost:4502/content/we-retail/language-masters/en/products/women/shorts/desert-sky-shorts.html#wohisudes-0,,,WeRetail,,,,,,,,,,
WOSWSUBAS,Bahamas Shorts,shorts,Bahamas Shorts,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Shorts/Bahamas.jpg,38,http://localhost:4502/content/we-retail/language-masters/en/products/women/shorts/bahamas-shorts.html#woswsubas-XS,,,WeRetail,,,,,,,,,,
90019930,Gloves,gloves,Gloves,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Gloves/90019930.jpg,24,http://localhost:4502/content/we-retail/language-masters/en/products/women/gloves/gloves.html#90019930,,,WeRetail,,,,,,,,,,
EQSUSUBED,"Bear 8'8"" Longboard",equipment,"Bear 8'8"" Longboard",https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/Bear.jpg,1100,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/bear-8_8_-longboard.html#eqsusubed,,,WeRetail,,,,,,,,,,
EQSUSUTHD,The Stretch Longboard,equipment,The Stretch Longboard,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/stretch_top.png,900,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/the-stretch-longboard.html#eqsusuthd,,,WeRetail,,,,,,,,,,
EQSUSURUD,Rusty Parrot Shortboad,equipment,Rusty Parrot Shortboad,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/Rusty%20Parrot.jpg,895,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/rusty-parrot-shortboad.html#eqsusurud,,,WeRetail,,,,,,,,,,
EQSUSUELY,El Greco 8' Shorty,equipment,El Greco 8' Shorty,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/El%20Greco.jpg,750,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/el-greco-8_-shorty.html#eqsusuely,,,WeRetail,,,,,,,,,,
EQSUSUEVD,Even Keel Paddleboard,equipment,Even Keel Paddleboard,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Even%20Keel.jpg,800,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/even-keel-paddleboard.html#eqsusuevd,,,WeRetail,,,,,,,,,,
EQSUSUCHD,Chasing Tail Surfboard,equipment,Chasing Tail Surfboard,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Chasing%20Tail.jpg,785,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/chasing-tail-surfboard.html#eqsusuchd,,,WeRetail,,,,,,,,,,
EQSUSUTHO,The Neutrino,equipment,The Neutrino,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Surfing/Source/Neutrino.jpg,695,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/surfing/the-neutrino.html#eqsusutho,,,WeRetail,,,,,,,,,,
EQRUSUBPE,BPA-Free Water Bottle,equipment,BPA-Free Water Bottle,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Running/Source/Water%20Bottle.jpg,18,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/running/bpa-free-water-bottle.html#eqrusubpe,,,WeRetail,,,,,,,,,,
30941863,Basa MP3 Player,equipment,Basa MP3 Player,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Running/30941863.jpg,149.99,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/running/basa-mp3-player.html#30941863-one,,,WeRetail,,,,,,,,,,
EQRUSUGOR,GoMobile Fitness Monitor/Smart Music Player,equipment,GoMobile Fitness Monitor/Smart Music Player,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Running/Source/GoMobile.jpg,150,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/running/gomobile-fitness-monitorsmart-music-player.html#eqrusugor,,,WeRetail,,,,,,,,,,
EQSWSUPUS.1,Pufferfish Snorkeling Fins Blue,equipment,Pufferfish Snorkeling Fins Blue,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Pufferfish%20Blue.jpg,25,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/pufferfish-snorkeling-fins.html#eqswsupus.1-S,,,WeRetail,,,,,,,,,,
EQSWSUAQR,Aqua Force GPS Fitness Monitor,equipment,Aqua Force GPS Fitness Monitor,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Aqua%20Force.jpg,200,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/aqua-force-gps-fitness-monitor.html#eqswsuaqr-One%20size,,,WeRetail,,,,,,,,,,
EQSWSUCAL,Cabana Stripe Towel,equipment,Cabana Stripe Towel,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Source/Cabana.jpg,18,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/cabana-stripe-towel.html#eqswsucal-One%20size,,,WeRetail,,,,,,,,,,
EQSWSUPRS.1,Pro Series Swim Goggles Blue,equipment,Pro Series Swim Goggles Blue,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Swim%20Goggles%20Blue.jpg,25,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/pro-series-swim-goggles.html#eqswsuprs.1-One%20size,,,WeRetail,,,,,,,,,,
EQSWSUMAK,Manta Ray Snorkel and Dive Mask,equipment,Manta Ray Snorkel and Dive Mask,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Water%20Sports/Manta%20Ray.jpg,50,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/water-sports/manta-ray-snorkel-and-dive-mask.html#eqswsumak-One%20size,,,WeRetail,,,,,,,,,,
EQBISUCOL,Compact Chain Tool,equipment,Compact Chain Tool,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Cycling/Source/Chain%20Tool.jpg,15,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/compact-chain-tool.html#eqbisucol,,,WeRetail,,,,,,,,,,
EQBISUBLP,Blast Mini Pump,equipment,Blast Mini Pump,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Cycling/Blast.jpg,15,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/blast-mini-pump.html#eqbisublp,,,WeRetail,,,,,,,,,,
EQBISUMXS,MX121 Sport Pedals,equipment,MX121 Sport Pedals,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Cycling/Source/MX121.jpg,65,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/mx121-sport-pedals.html#eqbisumxs-One%20size,,,WeRetail,,,,,,,,,,
EQWRSNBD,Flying Snowboard,equipment,Flying Snowboard,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Winter%20Sports/Snowboard.jpg,599,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/snow-sports/flying-snowboard.html#eqwrsnbd-One%20size,,,WeRetail,,,,,,,,,,
EQRUSUFLE,Fleet Cross-Training Shoe,footwear,Fleet Cross-Training Shoe,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/Source/Fleet%20Shoe.jpg,65,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/running/fleet-cross-training-shoe.html#eqrusufle-9,,,WeRetail,,,,,,,,,,
EQSMCZ.1,Cuzco Blue,backpack,Cuzco Blue,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Hiking/Source/Backpack_J.jpg,210,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/hiking/cuzco.html#eqsmcz.1,,,WeRetail,,,,,,,,,,
EQBISUSET,Sequoia Bike Helmet,helmet,Sequoia Bike Helmet,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Equipment/Cycling/Source/Sequoia.jpg,75,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/sequoia-bike-helmet.html#eqbisuset-S,,,WeRetail,,,,,,,,,,
EQBISUMAS,Marin Mountain Bike Shoes,footwear,Marin Mountain Bike Shoes,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/Marin.jpg,110,http://localhost:4502/content/we-retail/language-masters/en/products/equipment/biking/marin-mountain-bike-shoes.html#eqbisumas-7,,,WeRetail,,,,,,,,,,
GDS7890-7,Nimbus Runner,footwear,Nimbus Runner,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/retailshoes2.png,77,http://localhost:4502/content/we-retail/language-masters/en/products/men/footwear/nimbus-runner.html,,,WeRetail,,,,,,,,,,
 PRD5678-7,Cyclone Sneaker,footwear,Cyclone Sneaker,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/retailshoes3.png,68,http://localhost:4502/content/we-retail/language-masters/en/products/men/footwear/cyclone-sneaker.html,,,WeRetail,,,,,,,,,,
PROD3456-7,Blaze Hiker,footwear,Blaze Hiker,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/retailshoes4.png,81,http://localhost:4502/content/we-retail/language-masters/en/products/men/footwear/blaze-hiker.html,,,WeRetail,,,,,,,,,,
PRD5678-7,Stylish casual Running Shoes,footwear,Stylish casual Running Shoes,https://raw.githubusercontent.com/Akhila-Uppala/akhila-uppala.github.io/main/Apparel/Footwear/retailshoes1.png,84,http://localhost:4502/content/we-retail/language-masters/en/products/men/footwear/stylish-casual-running-shoes.html,,,WeRetail,,,,,,,,,,
